Title,Description,Ingredients,Directions,Link
Ginger Chicken,"Ginger chicken is a Chinese dish typically made with fresh garlic, ginger, and scallions with a sticky brown sauce over rice and noodles.","['1/4 cup packed light brown sugar', '3 tablespoons soy sauce', '2 tablespoons Shaoxing\xa0wine or rice vinegar', '1/8 teaspoon freshly ground white pepper', '1/2 cup plus 1 tablespoon tap water, divided', '4 scallions, sliced', '1 tablespoon olive oil', '1 1/2\xa0\xa0pounds boneless, skinless chicken thighs (about 6 thighs)', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1 1/2 tablespoons fresh ginger', '2 cloves garlic, chopped', '2 teaspoons cornstarch', 'sesame seeds for garnish', '2 cups cooked long-grain white rice, for serving']","['Gather all ingredients.', 'Whisk together brown sugar, soy sauce, Shaoxing wine, white pepper, and 1/2 cup of the water until combined; set aside. Thinly slice scallions, and separate white and light green parts from dark green parts; set aside.', 'Heat oil in a large skillet over medium-high until shimmering. Sprinkle both sides of chicken evenly with salt and black pepper. Add chicken to skillet, rounded sides down, and cook until golden brown, about 10 minutes. Flip chicken, and continue to cook until a thermometer inserted into thickest portion registers 165 degrees F (73 degrees C), about 5 minutes. Transfer to a large plate, and cover loosely with aluminum foil to keep warm.', 'Add ginger, garlic, and reserved white and light green scallion parts to drippings in skillet, and cook over medium-high, stirring often, until garlic and ginger are fragrant and lightly toasted, and scallions are starting to fall apart, 3 to 4 minutes.', 'Whisk together cornstarch and remaining 1 tablespoon water until smooth. Add cornstarch mixture and soy sauce mixture to skillet. Bring to a boil over medium-high. Reduce heat to low to maintain a simmer, and cook, stirring constantly, until sauce thickens and coats the back of a spoon, about 1 minute. Remove from heat.', 'Return chicken and any residual juices to skillet, tossing to coat evenly in soy sauce mixture. Garnish with sesame seeds and dark green scallion parts. Serve over rice.']",https://www.allrecipes.com/ginger-chicken-recipe-8639346
Breakfast Nachos,"These breakfast nachos are a play on steak and eggs and they're out of this world. Salty tortilla chips are layered with sliced seared flat iron steak, eggs, beans, and cheese, broiled, dressed with everything else nacho, then finished with a zingy chimichurri sauce.","['3/4 cup packed fresh cilantro leaves and tender stems', '1/2 cup loosely packed fresh flat-leaf parsley leaves and tender stems', '1 clove garlic, coarsely chopped', '1 1/2 tablespoons red wine vinegar', '1/4 teaspoon crushed red pepper', '1/4 teaspoon kosher salt', '1/4 cup extra-virgin olive oil', '1 (8 ounce) flat iron steak, patted dry', '3/4 teaspoon kosher salt, divided', '1/2 teaspoon ground black pepper, divided', '1/2 teaspoon ground cumin (optional)', '2 tablespoons olive oil', '8 large eggs', '1 (11 ounce) package tortilla chips (such as Tostitos®)', '2 (8 ounce) packages shredded Mexican cheese blend (such as Tilamook®)', '1 (15 ounce) can black beans, drained and rinsed', '1 cup chopped plum tomatoes', '1 avocado, chopped', '1/2 cup drained pickled jalapeno slices', '1/2 cup sour cream, or as needed']","['Gather all ingredients.', 'For chimichurri: Place cilantro, parsley, garlic, vinegar, crushed red pepper, and salt in a small food processor; pulse until finely chopped, about 10 pulses. With processor running, pour oil through food chute, and process until fully incorporated, about 20 seconds; set aside.', 'For steak: Sprinkle steak evenly with 1/2 teaspoon of the salt, 1/4 teaspoon of the black pepper, and cumin, as desired. Heat a medium cast-iron skillet over medium-high for 5 minutes. Add steak and 1 tablespoon of the oil, swirling to distribute oil evenly. Cook, undisturbed, until nicely browned and a thermometer inserted into thickest portion of steak\xa0registers 120 degreed F (49 degrees ) for rare, about 3 minutes per side. Transfer to a cutting board, and let rest 10 minutes. Do not wipe skillet clean.', 'Meanwhile, whisk together eggs and remaining 1/4 teaspoon each salt and black pepper in a medium bowl until thoroughly blended. Heat cast-iron skillet over medium. Add remaining 1 tablespoon oil and eggs; cook, stirring occasionally, until just set, about 2 minutes. Transfer to a bowl; cover, and set aside.', 'Preheat the oven’s broiler and place a rack about 12 inches from the heat source. Line a large rimmed baking sheet with aluminum foil.', 'To assemble nachos, arrange half of tortilla chips in an even layer on prepared baking sheet. Thinly slice steak across the grain, and cut into 3/4-inch pieces. Sprinkle tortilla chips evenly with half of steak, half of beans, half of eggs, and half of Mexican blend cheese. Repeat with remaining chips, steak, beans, eggs, and cheese.', 'Broil until cheese is melted and bubbly, about 2 minutes. Top with tomatoes, avocado, and pickled jalapeños. Drizzle evenly with chimichurri, and serve with sour cream.']",https://www.allrecipes.com/breakfast-nachos-recipe-8679259
"Spinach, Feta, and Rice Casserole","This spinach, feta, and rice casserole is a perfectly creamy rice casserole, scented with lemon and dill. Sun-dried tomatoes add a pop of sweetness.","['1 cup thinly sliced scallions', '1/4 cup drained, chopped sun-dried tomatoes in oil', '1 tablespoon finely chopped fresh garlic', '1 teaspoon dried oregano', '1 (16 ounce) package frozen chopped spinach', '3 cups vegetable broth', '1 1/2 cups uncooked long-grain white rice', '1 1/2 teaspoons grated lemon zest plus 2 tablespoons fresh lemon juice (from 1 lemon)', '1 teaspoon kosher salt', '3/4 teaspoon freshly ground black pepper', '6 ounces feta cheese, crumbled (about 1 1/2 cups), divided', '1/2 cup chopped fresh dill']","['Gather all ingredients. Preheat the oven to 425 degrees F (190 degrees C).', 'Heat oil in a large ovenproof skillet over medium-high heat. Add scallions, sun-dried tomatoes, garlic, and oregano; cook, stirring often, until scallions soften, about 2 minutes. Add spinach, and cook, stirring occasionally, until thawed, 5 to 6 minutes.', 'Stir in broth, rice, lemon zest and juice, salt, pepper, and 1 cup of the feta. Bring to a simmer over high heat, stirring occasionally. Stir in dill, and top evenly with remaining 1/2 cup feta.', 'Bake in the preheated oven until rice is tender and feta begins to brown, about 20 minutes.']",https://www.allrecipes.com/spinach-feta-and-rice-casserole-recipe-8672182
Zucchini Boats,"These zucchini boats, with fork-tender zucchini halves piled to the brim with a delicious meaty tomato filling, are a perfect carb-free dinner. Italian seasoning ties the flavors together, and the golden-brown cheese crust adds a nice tang.","['4 (8 ounce) zucchini', '1 teaspoon dried Italian seasoning', '1/4 teaspoon ground black pepper', '1 teaspoon kosher salt, divided', '1 pound mild Italian pork sausage', '1/2 cup minced yellow onion', '2 teaspoons minced garlic', '1/2 teaspoon crushed red pepper', '1 1/2 cups marinara sauce', '6 ounces shredded low-moisture whole-milk mozzarella cheese', '1 ounce grated Parmesan cheese', '1 tablespoon finely chopped mixed fresh tender herbs, such as flat-leaf parsley and basil']","['Gather the ingredients.', 'Preheat the oven to 400 degrees F (175 degrees C). Spray a 13-x9-inch baking dish with cooking spray.', 'Cut zucchini in half lengthwise; cut off and discard stem ends. Using a spoon, scoop and scrape out pulp from center of each zucchini half, creating a 1/2-inch-thick shell. Measure out 3/4 cup zucchini pulp, and discard or reserve remaining pulp for another use. Arrange zucchini halves, cut side up, in prepared baking dish. Sprinkle evenly with Italian seasoning, black pepper, and 1/2 teaspoon of the salt.', 'Heat a large skillet over medium-high heat. Add Italian sausage; cook, stirring and breaking up with a spatula, until browned and crumbly, about 5 minutes. Stir in onion, garlic, crushed red pepper, the 3/4 cup zucchini pulp, and remaining 1/2 teaspoon salt; cook, stirring occasionally, until vegetables are softened and liquid is absorbed, about 5 minutes. Stir in marinara, and bring to a simmer over medium-high heat. Simmer, undisturbed, until slightly thickened, 3 to 5 minutes. Remove from heat.', 'Spoon about 1/2 cup pork mixture into each zucchini half; sprinkle evenly with mozzarella and Parmesan.', 'Bake in the preheated oven until zucchini is tender and cheese is melted and golden brown, 20 to 25 minutes. Sprinkle evenly with herbs; serve immediately.']",https://www.allrecipes.com/zucchini-boats-recipe-8654815
Crispy Cheesy Chicken Ranch Patties,"These crispy cheesy chicken ranch patties, made with chopped boneless chicken breast, ranch dressing mix, and mozzarella cheese, are pan-fried, and then served with an easy ranch sauce.","['1 1/2 pounds skinless, boneless chicken breasts, cut into 1/2-inch pieces', '2 large eggs', '3 tablespoons grated onion', '2 tablespoons finely chopped fresh parsley', '1 1/2 cups shredded mozzarella cheese', '1 (1 ounce) packet dry ranch dressing mix, divided', '3/4 cup mayonnaise, divided', '1/2 teaspoon kosher salt', '1/4 teaspoon freshly ground black pepper', '1/3 cup all-purpose flour', '3 tablespoons olive oil, plus more as needed for frying', '1 tablespoon fresh lemon juice', '1/8 teaspoon cayenne pepper']","['Combine chicken, eggs, onion, parsley, mozzarella, and half of ranch seasoning packet in a large bowl. Add 1/2 cup mayonnaise, salt, and pepper and stir to combine. Stir in flour just until mixture comes together.', 'Preheat the oven to 200 degrees F (93 degrees C). Place a rack inside a sheet pan and set in the oven while it preheats. Heat 1 1/2 tablespoons oil in a large, nonstick skillet over medium-high heat.', 'Working in batches, spoon about 1/4 cup of chicken mixture into skillet for each patty.\xa0 Cook, undisturbed, until golden brown, about 4 minutes. Flip and cook until golden brown and cooked through, 3 to 4 minutes more. An instant read thermometer inserted near the center will read 165 degrees F (74 degrees C). Repeat with remaining oil and chicken mixture. Place cooked patties on the prepared pan in the oven to keep warm.', 'Combine remaining mayonnaise and remaining ranch seasoning in a small bowl.\xa0 Add lemon juice and cayenne and stir until well combined. Serve chicken patties with ranch sauce.']",https://www.allrecipes.com/crispy-cheesy-chicken-ranch-patties-recipe-8678264
Peach Custard Pie,"This peach custard pie, a cross between peach pie and Southern chess pie, has just the right amount of peach to balance with the tender custard and the flaky crust. Blind baking the crust is optional, but it does ensure that the bottom crust will be crisp.","['1 ready-to-bake single pie crust shell', '2 ripe peaches, peeled and sliced into eighths', '4 large eggs', '1 cup white sugar', '1 tablespoon brown sugar', '1 tablespoon all-purpose flour', '2 tablespoons cornmeal', '1/2 teaspoon salt', '1 teaspoon vanilla extract', '1 tablespoon apple cider vinegar', '1/4 cup whole milk', '1/2 cup melted butter']","['To blind bake the crust (optional): Chill pastry-filled pie pan at least 20 minutes before baking to prevent shrinkage.', 'Preheat the oven to 400 degrees F (200 degrees C). Line pastry with parchment or a double layer of aluminum foil and a layer of pie weights or dried beans.', 'Bake in the preheated oven for about 15 minutes. Remove from the oven, carefully remove the foil and weights, and let cool to room temperature, about 20 minutes. The base of the crust will have turned a very light golden brown. Reduce the oven temperature to 350 degrees F (175 degrees C).', 'For custard: combine eggs, white sugar, and brown sugar in a bowl, and whisk vigorously until sugar is dissolved, about 2 minutes. Add flour, cornmeal, salt, vanilla, vinegar, milk, and butter, and whisk vigorously until you achieve a smooth, emulsified batter, about 2 minutes.', 'Arrange 12 peach slices on the bottom of the crust. Whisk batter again, and slowly ladle into the crust, being careful not to move the peach slices out of place.', 'Bake in the preheated oven at 350 degrees F (175 degrees C) until top is browned and a very sharp knife inserted near the center comes out clean, 50 to 60 minutes. The pie should not be liquid, but jiggle when the pie dish is moved back and forth.', 'Let cool completely before serving. For best results, chill in the refrigerator before serving.']",https://www.allrecipes.com/peach-custard-pie-recipe-8678564
Cajun Caviar,"This Cajun caviar will be your next favorite party dip. With 2 kinds of cheese, Cajun seasoning, pecans, and a little mayo, it's got it all going on. It takes minutes to put together, and there's no cooking needed. Serve it with your favorite crackers.","['6 ounces Monterey Jack cheese, shredded', '6 ounces Cheddar cheese, shredded', '1 cup finely chopped pecans', '1 bunch green onions, thinly sliced, divided', '1 cup mayonnaise', '1 teaspoon Cajun seasoning', '1 cup red pepper jelly']","['Combine Monterey Jack cheese, Cheddar cheese, and pecans in a large bowl. Set aside 1 tablespoon green onions for garnish, and add remaining green onions to the bowl. Add mayonnaise and Cajun seasoning and mix well.', 'Spread cheese mixture evenly onto a serving dish or pie plate. Spread pepper jelly on top and sprinkle with reserved green onions. Serve immediately or refrigerate until ready to serve.']",https://www.allrecipes.com/cajun-caviar-recipe-8678228
Creamy Mississippi Chicken Enchiladas,"These creamy Mississippi chicken enchiladas take creamy, cheesy slow cooker Mississippi chicken, flavored with pepperoncini and ranch dressing, to a new level. Shredding the chicken and making baked enchiladas is the obvious next step.","['2 pounds skinless, boneless chicken breasts', '1 (1 ounce) package dry ranch dressing mix', '1 cup drained sliced pepperoncini peppers', '1/4 cup pepper juice (from jar of pepperoncini peppers)', '4 tablespoons butter', '1/4 cup water', '8 ounces cream cheese, softened', '1/2 cup sour cream', '3 cups shredded Monterey Jack cheese', '8 (10 inch) flour tortillas', '1 1/2 cups heavy cream', 'sliced green onions and pico de gallo, for serving']","['Place chicken, ranch dressing mix, pepperoncini, pepper juice, butter, and water, in that order, into a slow cooker. Cook on High for 2 hours or Low for 3 1/2 hours until chicken easily shreds with a fork.', 'Preheat the oven to 350 degrees F (1 degrees C). Remove half of the liquid in the slow cooker and discard. Shred chicken in the remaining liquid. Stir in cream cheese and sour cream.', 'Place about 1/2 cup chicken mixture and 2 tablespoons cheese in each tortilla and roll to seal. Place seam side down in a 9x13-inch casserole dish. Top with remaining cheese and pour heavy cream evenly over the top.', 'Bake in the preheated oven until browned around the edges and bubbly, about 30 minutes. Let stand for 5 to 10 minutes before serving. Top with green onions and pico de gallo.']",https://www.allrecipes.com/creamy-mississippi-chicken-enchiladas-recipe-8678116
Grilled Watermelon Feta Pizza,"This grilled watermelon feta pizza is your showstopper for the summer. Grill a thick slice of watermelon, top with a quick-pickled onion, feta, and walnuts for a watermelon salad like you've never had.","['1/2 red onion\xa0thinly sliced', '1/4 cup red wine vinegar', '2 tablespoons sugar', '1/2 teaspoon kosher salt', '1 tablespoon extra virgin olive oil, divided', '1 (1 1/2-inch thick) slice watermelon, from a large seedless watermelon', '1/4 cup crumbled feta cheese', '2 tablespoons chopped toasted walnuts', '1 tablespoon chopped fresh mint', '1/4 teaspoon freshly cracked black pepper']","['Combine onions, vinegar, sugar, and salt in a small bowl and stir well. Let stand 15 to 20 minutes.', 'Heat a grill or large grill pan over high heat and lightly coat grates with cooking spray. Brush one side of watermelon lightly with olive oil. Place watermelon, oiled side down, on grill and cook, undisturbed, just until grill marks appear, about 2 minutes. Remove from grill; place grilled side up onto a large cutting board.', 'Cut watermelon into 6 wedges; push wedges together to maintain a circular shape. Top evenly with feta cheese, walnuts, mint, and pepper, and drizzle with remaining olive oil.']",https://www.allrecipes.com/grilled-watermelon-feta-pizza-recipe-8678147
Chili Bean Chicken,"This chili bean chicken, a savory casserole of chicken thighs nestled in chili baked beans, is for when you crave both chicken chili and roast chicken with baked beans, and it is both very easy and very delicious.","['1 cup roasted tomato salsa', '1/2 cup ketchup', '1/4 cup BBQ sauce', '2 tablespoons yellow mustard', '1/3 cup apple cider vinegar', '1/4 cup packed brown sugar', '1 tablespoon Worcestershire sauce', '3/4 cup water', '2 (15 ounce) cans\xa0pinto beans', '2 (15 ounce) cans\xa0cannellini beans', '2 tablespoons chili powder', '1 tablespoon smoked paprika', '1 teaspoon ground cumin', '1 teaspoon garlic powder', '1 teaspoon freshly ground black pepper', '2 teaspoons kosher salt, or to taste', '1/4 teaspoon cayenne pepper, or to taste', '1 teaspoon dried Mexican oregano', '1/2 cup sliced green onions, plus more for garnish', '8 large skinless, boneless chicken thighs']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Add all the ingredients except chicken—salsa, ketchup, BBQ sauce, mustard, vinegar, brown sugar, Worcestershire, water, pinto beans, cannellini beans, chili powder, smoked paprika, cumin, garlic powder, black pepper, salt, cayenne, oregano, and green onions—to a large bowl, and stir very thoroughly to combine.', 'Pour chili mixture into a 15x10-inch casserole dish. Use a spoon to make sure beans are evenly distributed.', 'Add chicken thighs one at a time; unfold each chicken thigh, toss thoroughly in the sauce, then fold back up into a compact thigh shape. Space the 8 thighs evenly, and poke down into the sauce until almost submerged.', 'Bake in the preheated oven until liquids have reduced and thickened slightly, and the thighs are fork tender, about 1 1/2 hours.', 'Let rest for 10 minutes before serving. Top with more green onions if desired.']",https://www.allrecipes.com/chili-bean-chicken-recipe-8676837
